domain_tld,dga_label
wunderground.com,0
dropbox.com,0
aoltw.net,1
home,0
mozilla.com,0
metasploit.com,0
aol.com,0
aoltw.net,1
aol.com,0
aol.com,0
aoltw.net,1
aol.com,0
google.com,0
home,0
stayonline.net,0
aoltw.net,1
aol.com,0
aol.com,0
110phpmyadmin,0
informaction.com,0
localdomain,0
localdomain,0
vmware.com,0
mozilla.com,0
localdomain,0
windows.com,0
vmware.com,0
ntkrnlpa.info,1
portswigger.net,0
offensive-security.com,0
stayonline.net,0
stopbadware.org,0
aoltw.net,1
arrancar.org,0
sql-ledger.org,0
backtrack-linux.org,0
stayonline.net,0
mozilla.com,0
theanime.cn,0
theanime.cn,0
aoltw.net,1
aoltw.net,1
aoltw.net,1
vpn,0
stayonline.net,0
aoltw.net,1
aol.com,0
aoltw.net,1
phpmyadmin.net,0
google.com,0
google.com,0
microsoft.com,0
home,0
aoltw.net,1
comcast.net,0
google.com,0
aoltw.net,1
ubuntu.com,0
mozilla.com,0
alexa.com,0
postgresql.org,[missing]
sourceforge.net,[missing]
freepbx.org,[missing]
vpn,0
bigflickrfeed.com,[missing]
gnu.org,[missing]
wpad,[missing]
lan,[missing]
google.com,0
comcast.net,0
sourceforge.net,[missing]
"56""",[missing]
freepbx.org,[missing]
acunetix.com,[missing]
acunetix.com,[missing]
microsoft.com,0
windowsupdate.com,[missing]
microsoft.com,0
flickr.com,[missing]
alexa.com,0
microsoft.com,0
aol.com,0
malwarecity.com,[missing]
facebook.com,[missing]
comcast.net,0
comcast.net,0
securityfocus.com,[missing]
xmarks.com,[missing]
0,[missing]
cakephp.org,[missing]
hec.net,[missing]
google.com,0
adams.net,[missing]
uidaho.edu,[missing]
pdx.edu,[missing]
clarkson.edu,[missing]
rackspace.com,[missing]
ecvps.com,[missing]
wisc.edu,[missing]
facebook.net,[missing]
easynews.com,[missing]
bluehost.com,[missing]
netriplex.com,[missing]
stanford.edu,[missing]
tummy.com,[missing]
fastserv.com,[missing]
kernel.org,[missing]
hmc.edu,[missing]
liquidweb.com,[missing]
5ninesolutions.com,[missing]
fastserv.com,[missing]
interworx.info,[missing]
wallawalla.edu,[missing]
sanctuaryhost.com,[missing]
team-cymru.org,[missing]
umoss.org,[missing]
gigenet.com,[missing]
xmission.com,[missing]
upenn.edu,[missing]
tds.net,[missing]
nyi.net,[missing]
atlantic.net,[missing]
usf.edu,[missing]
rocketinternet.net,[missing]
rit.edu,[missing]
google.com,0
FL,[missing]
apple.com,[missing]
apple.com,[missing]
xmarks.com,[missing]
aol.com,0
saruman,[missing]
google.com,0
stayonline.net,0
aoltw.net,1
1201,[missing]
,[missing]
me.com,[missing]
apple.com,[missing]
me.com,[missing]
apple.com,[missing]
google.com,0
youtube.com,[missing]
me.com,[missing]
msftncsi.com,[missing]
kodapp.com,[missing]
threatspace.net,[missing]
msftncsi.com,[missing]
backblaze.com,[missing]
social-engineer.org,[missing]
microsoft.com,0
localdomain,0
arduino.cc,[missing]
aol.com,0
mac.com,[missing]
nvidia.com,[missing]
mozilla.org,[missing]
mozilla.org,[missing]
mac.com,[missing]
nagios.org,[missing]
vtlfccmfxlkgifuf.com,[missing]
aoltw.net,1
macromates.com,[missing]
254,[missing]
google.com,0
home,0
0,[missing]
ejfodfmfxlkgifuf.xyz,[missing]
home,0
192.168.22.201,[missing]
aol.com,0
aoltw.net,1
localdomain,0
microsoft.com,0
verisign.com,[missing]
192.168.22.201,[missing]
real.com,[missing]
